step,loss,train_reward,mean_topk_divergence,mask_fraction,kl_mean,entropy_mean,ratio_max,response_length,gpu_hours,cpu_load_1m,cpu_rss_gb,gpu_memory_allocated_gb,gpu_memory_reserved_gb,gpu_memory_peak_gb
63,-0.0,0.1000000014901161,0.0,0.0,0.0,7.39753246307373,1.0,256.0,0.0815426505936516,0.99658203125,0.001872781664133,6.883920192718506,28.572265625,11.396876335144045
64,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,7.007620334625244,1.0,256.0,0.0828005443016688,0.9970703125,0.001872781664133,5.953251361846924,28.572265625,11.396876335144045
65,1.855369191616773e-09,0.0750000029802322,0.0,0.0,0.0,7.204384326934815,1.0,256.0,0.084069161746237,0.9970703125,0.001872781664133,6.977529525756836,28.572265625,11.396876335144045
66,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,6.967862129211426,1.0,256.0,0.0853853256172604,0.99755859375,0.001872781664133,7.676575660705566,37.47265625,11.709330081939695
67,-0.0,0.050000000745058,0.0,0.0,0.0,6.819278717041016,1.0,256.0,0.0866578757100635,0.998046875,0.001872781664133,6.977529525756836,37.47265625,11.709330081939695
68,-4.729372449219227e-10,0.025000000372529,0.0,0.0,0.0,6.919072151184082,1.0,256.0,0.0879248753521177,0.99853515625,0.001872781664133,5.862690448760986,37.47265625,11.709330081939695
69,-0.0,0.050000000745058,0.0,0.0,0.0,7.296058177947998,1.0,256.0,0.08919293112225,0.9990234375,0.001872781664133,6.880479335784912,37.47265625,11.709330081939695
70,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,7.130069732666016,1.0,256.0,0.0904600307014253,0.99951171875,0.001872781664133,6.880479335784912,37.47265625,11.709330081939695
71,-9.022187441587447e-10,0.025000000372529,0.0,0.0,0.0,6.841778755187988,1.0,256.0,0.0919100535578198,1.0,0.0018729008734226,7.224621295928955,37.47265625,11.709330081939695
72,-7.275957614183426e-12,0.050000000745058,0.0,0.0,0.0,6.831895351409912,1.0,256.0,0.0931896048784255,1.0,0.0018730200827121,6.252108573913574,37.47265625,11.709330081939695
73,-5.602487362921238e-10,0.025000000372529,0.0,0.0,0.0,5.194347381591797,1.0,256.0,0.094447621040874,1.0,0.0018730200827121,6.908527851104736,37.47265625,11.709330081939695
74,-4.729372449219227e-10,0.025000000372529,0.0,0.0,0.0,7.05312442779541,1.0,256.0,0.0957687588532765,1.0,0.0018731392920017,6.854191303253174,37.47265625,11.709330081939695
75,3.637978807091713e-12,0.050000000745058,0.0,0.0,0.0,7.0027689933776855,1.0,256.0,0.0970495427317089,1.0,0.0018732585012912,6.817966938018799,37.47265625,11.709330081939695
76,4.8875852371566e-05,0.050000000745058,0.0,0.0,0.0,7.021745204925537,1.0,255.75,0.0983175691631105,1.0,0.0018732585012912,5.78118371963501,37.47265625,11.709330081939695
77,2.4439797925879247e-05,0.0750000029802322,0.0,0.0,0.0,7.216110706329346,1.0,255.75,0.0995925591389338,1.0,0.0018733777105808,6.7654547691345215,37.47265625,11.709330081939695
78,1.8480932340025902e-09,0.0750000029802322,0.0,0.0,0.0,5.362133979797363,1.0,256.0,0.1008713937467998,1.0,0.0018733777105808,6.747340679168701,37.47265625,11.709330081939695
79,-0.0,0.1000000014901161,0.0,0.0,0.0,7.124805450439453,1.0,256.0,0.1021492807070414,1.0,0.0018733777105808,6.72017240524292,37.47265625,11.709330081939695
80,-2.443883749947417e-05,0.025000000372529,0.0,0.0,0.0,7.350621700286865,1.0,255.75,0.1034124868445926,1.0,0.0018733777105808,6.034760475158691,37.47265625,11.709330081939695
81,-0.0,0.1000000014901161,0.0,0.0,0.0,6.973921775817871,1.0,256.0,0.1046804495652516,1.0,0.0018734969198703,7.129669189453125,37.47265625,11.709330081939695
82,-0.0,0.050000000745058,0.0,0.0,0.0,6.748912811279297,1.0,256.0,0.1059399853150049,1.0,0.0018734969198703,7.057220458984375,37.47265625,11.709330081939695
83,1.4551915228366852e-11,0.050000000745058,0.0,0.0,0.0,6.868342399597168,1.0,256.0,0.1071980893611908,1.0,0.0018734969198703,7.365133762359619,37.47265625,11.709330081939695
84,-0.0,0.050000000745058,0.0,0.0,0.0,6.911812782287598,1.0,256.0,0.1084524375862545,1.0,0.0018734969198703,6.224940299987793,37.47265625,11.709330081939695
85,-0.0,0.050000000745058,0.0,0.0,0.0,7.09260368347168,1.0,256.0,0.1097014511293835,1.0,0.0018734969198703,7.288187503814697,37.47265625,11.709330081939695
86,3.637978807091713e-12,0.050000000745058,0.0,0.0,0.0,6.90336799621582,1.0,256.0,0.1109552223152584,1.0,0.0018736161291599,7.297243595123291,37.47265625,11.709330081939695
87,1.877197064459324e-09,0.0750000029802322,0.0,0.0,0.0,7.063807487487793,1.0,256.0,0.1122099622090657,1.0,0.0018736161291599,7.469311237335205,37.47265625,11.709330081939695
88,-1.4551915228366852e-11,0.050000000745058,0.0,0.0,0.0,6.9700117111206055,1.0,256.0,0.1134626633591122,1.0,0.0018736161291599,6.469460964202881,37.47265625,11.709330081939695
89,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,7.003189086914063,1.0,256.0,0.1147119914823108,1.0,0.0018736161291599,6.897229671478272,37.47265625,11.709330081939695
90,-0.0,0.050000000745058,0.0,0.0,0.0,6.946957111358643,1.0,256.0,0.1159621815549002,1.0,0.0018736161291599,6.978738784790039,37.47265625,11.709330081939695
91,-0.0002932453644461,0.3000000119209289,0.0,0.0,0.0,6.8163347244262695,1.0,255.75,0.1172075036499235,1.0,0.0018736161291599,7.024019241333008,37.47265625,11.709330081939695
92,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,7.181394577026367,1.0,256.0,0.118450939324167,1.0,0.0018736161291599,5.935139179229736,37.47265625,11.709330081939695
93,1.862645149230957e-09,0.0750000029802322,0.0,0.0,0.0,7.387086391448975,1.0,256.0,0.1197034696737925,1.0,0.0018736161291599,6.890401363372803,37.47265625,11.709330081939695
94,1.2980308383703232e-08,0.3000000119209289,0.0,0.0,0.0,7.005756855010986,1.0,256.0,0.1210337433550092,1.0,0.0018737353384494,7.053415298461914,37.47265625,11.709330081939695
95,-0.0,0.050000000745058,0.0,0.0,0.0,7.100621223449707,1.0,256.0,0.1222973591751522,1.0,0.0018737353384494,7.017190933227539,37.47265625,11.709330081939695
96,-9.313225746154783e-10,0.025000000372529,0.0,0.0,0.0,7.027144908905029,1.0,256.0,0.1235555329587724,1.0,0.0018737353384494,6.089097023010254,37.47265625,11.709330081939695
97,-0.0,0.1000000014901161,0.0,0.0,0.0,7.347780227661133,1.0,256.0,0.1250784814357757,1.0,0.0018737353384494,6.968182563781738,37.47265625,11.709330081939695
98,-0.0,0.1000000014901161,0.0,0.0,0.0,6.873628616333008,1.0,256.0,0.1265325501892301,1.0,0.0018737353384494,7.040631294250488,37.47265625,11.709330081939695
99,1.8553691916167734e-09,0.0750000029802322,0.0,0.0,0.0,6.848963737487793,1.0,256.0,0.1278061260117425,1.0,0.0018737353384494,7.15836238861084,37.47265625,11.709330081939695
100,-0.0,0.0,0.0,0.0,0.0,6.932283401489258,1.0,256.0,0.12908119406965043,1.0,0.0018737353384494781,6.315505504608154,37.47265625,11.709330081939697
